id,created_at,favorites,retweets,retweeted,source,text
857885585406660608,2017-04-28 09:13:56,0,1,False,Twitter for Android,RT @Orgetorix: UK economic growth slows to 0.3% - business live https://t.co/a9qfDzGmFq
857885353268703234,2017-04-28 09:13:01,0,9,False,Twitter for Android,RT @AJEnglish: Opinion: Reza Aslan believes in everything - just a little bit https://t.co/QYe0Ig3Umd https://t.co/5bFvYCLxEF
857885278538792961,2017-04-28 09:12:43,0,39,False,Twitter for Android,RT @AJEnglish: Anti-India protests hit Kashmir's tourism industry https://t.co/D9mRK1BqLS https://t.co/v7SXvkU3SV
857885252345360385,2017-04-28 09:12:37,0,53,False,Twitter for Android,RT @AJEnglish: The widows and children of India's farmer suicides https://t.co/w8wexqVaHj https://t.co/z19Mp8Ir75
857885192861741057,2017-04-28 09:12:23,0,271,False,Twitter for Android,"RT @AJEnglish: Opinion: As repression of anti-government protests continue, Venezuela's human rights has deteriorated https://t.co/WRRin3dd…"
857885062490140672,2017-04-28 09:11:52,0,779,False,Twitter for Android,RT @AJEnglish: Pope Francis has opened this free laundromat for poor and homeless people in Rome. https://t.co/xG34nOKDJ2
857885032475758592,2017-04-28 09:11:45,0,61,False,Twitter for Android,"RT @AJEnglish: How Trump's critics are using comedy to attack him, his policies and even his staff https://t.co/KF0LU6Bxks https://t.co/QuA…"
857885007536324609,2017-04-28 09:11:39,0,35,False,Twitter for Android,RT @AJEnglish: Meet the 72-year-old Finnish four-time powerlifting world champion who is training for his last world championship https://t…
857884927748186112,2017-04-28 09:11:20,0,67,False,Twitter for Android,"RT @AJEnglish: Meet Mwimba Texas, the wrestling star breaking negative stereotypes on people with albinism. https://t.co/gwslrWEP1U"
857884824790589440,2017-04-28 09:10:55,0,38,False,Twitter for Android,RT @AJEnglish: How do lethal injections work? https://t.co/zjLkbTjHxf https://t.co/j3PY7Ub3mp
857884776111452160,2017-04-28 09:10:44,0,30,False,Twitter for Android,RT @AJEnglish: Inside Tehran's monument to US 'arrogance' https://t.co/rrOcV1jo1s https://t.co/AJZ5QK1Foe
857884693735387136,2017-04-28 09:10:24,0,145,False,Twitter for Android,"RT @AJEnglish: ""This war will not stop life in Mosul. We still listen to music.""

The Iraqi violinist bringing music back to Mosul. https:/…"
857884632024567808,2017-04-28 09:10:09,0,37,False,Twitter for Android,RT @AJEnglish: What is albinism and what causes it? https://t.co/lqX3rda3SE https://t.co/KmKWvUSsdW
857884523555692544,2017-04-28 09:09:43,0,87,False,Twitter for Android,RT @AJEnglish: Want to live to be 100? This Italian village may hold the secret to long life. https://t.co/1Y3mYAaRqS
857884473542803456,2017-04-28 09:09:31,0,65,False,Twitter for Android,RT @AJEnglish: Can the Kashmir conflict be resolved at the ballot box? https://t.co/bGjRlr1HD0 https://t.co/W0gfvuXMh3
